Name,Played,Wins,Draws,Losses,GF,GA,GoalDiff,Pts
Liverpool,19,15,4,0,49,9,40,49
Manchester City,19,15,2,2,58,15,43,47
Arsenal,19,13,2,4,35,17,18,41
Tottenham Hotspur,19,13,1,5,38,19,19,40
Manchester United,19,10,5,4,32,22,10,35
Chelsea,19,9,7,3,37,22,15,34
Leicester City,19,10,4,5,34,23,11,34
West Ham United,19,9,5,5,33,26,7,32
Newcastle United,19,8,6,5,26,27,-1,30
Crystal Palace,19,7,8,4,27,17,10,29
Everton,19,9,2,8,27,25,2,29
Southampton,19,6,7,6,23,24,-1,25
Brentford,19,7,3,9,22,21,1,24
Wolverhampton Wanderers,19,7,3,9,20,25,-5,24
Aston Villa,19,6,5,8,29,29,0,23
Brighton & Hove Albion,19,5,7,7,19,23,-4,22
Burnley,19,5,6,8,18,25,-7,21
Leeds United,19,4,6,9,19,38,-19,18
Norwich City,19,3,3,13,12,43,-31,12
Watford,19,2,2,15,17,46,-29,8
